Date,Venue,Initialism,Nickname,Longform
1/14,away,BUF,Sabres,Buffalo Sabres
1/15,away,BUF,Sabres,Buffalo Sabres
1/17,away,PIT,Penguins,Pittsburgh Penguins
1/19,away,PIT,Penguins,Pittsburgh Penguins
1/22,home,BUF,Sabres,Buffalo Sabres
1/24,home,BUF,Sabres,Buffalo Sabres
1/26,home,NYI,Islanders,New York Islanders
1/28,home,NYI,Islanders,New York Islanders
1/30,home,BOS,Bruins,Boston Bruins
2/1,home,BOS,Bruins,Boston Bruins
2/4,away,NYR,Rangers,New York Rangers
2/7,home,PHI,Flyers,Philadelphia Flyers
2/9,home,PHI,Flyers,Philadelphia Flyers
2/11,away,BUF,Sabres,Buffalo Sabres
2/13,away,BUF,Sabres,Buffalo Sabres
2/14,away,PIT,Penguins,Pittsburgh Penguins
2/16,away,PIT,Penguins,Pittsburgh Penguins
2/20,home,NYR,Rangers,New York Rangers
2/21,home,NYR,Rangers,New York Rangers
2/23,home,PIT,Penguins,Pittsburgh Penguins
2/25,home,PIT,Penguins,Pittsburgh Penguins
2/27,away,NJD,Devils,New Jersey Devils
3/1,away,NJD,Devils,New Jersey Devils
3/3,away,BOS,Bruins,Boston Bruins
3/5,away,BOS,Bruins,Boston Bruins
3/7,home,NJD,Devils,New Jersey Devils
3/9,home,NJD,Devils,New Jersey Devils
3/11,away,PHI,Flyers,Philadelphia Flyers
3/13,away,PHI,Flyers,Philadelphia Flyers
3/15,home,NYI,Islanders,New York Islanders
3/16,home,NYI,Islanders,New York Islanders
3/19,home,NYR,Rangers,New York Rangers
3/25,home,NJD,Devils,New Jersey Devils
3/26,home,NJD,Devils,New Jersey Devils
3/28,home,NYR,Rangers,New York Rangers
3/30,away,NYR,Rangers,New York Rangers
4/1,away,NYI,Islanders,New York Islanders
4/2,away,NJD,Devils,New Jersey Devils
4/4,away,NJD,Devils,New Jersey Devils
4/6,away,NYI,Islanders,New York Islanders
4/8,home,BOS,Bruins,Boston Bruins
4/10,home,BOS,Bruins,Boston Bruins
4/13,home,BUF,Sabres,Buffalo Sabres
4/15,home,BUF,Sabres,Buffalo Sabres
4/17,away,PHI,Flyers,Philadelphia Flyers
4/18,away,BOS,Bruins,Boston Bruins
4/20,away,BOS,Bruins,Boston Bruins
4/22,away,NYI,Islanders,New York Islanders
4/24,away,NYI,Islanders,New York Islanders
4/27,away,PHI,Flyers,Philadelphia Flyers
4/29,home,PIT,Penguins,Pittsburgh Penguins
5/1,home,PIT,Penguins,Pittsburgh Penguins
5/3,away,NYR,Rangers,New York Rangers
5/5,away,NYR,Rangers,New York Rangers
5/7,home,PHI,Flyers,Philadelphia Flyers
5/8,home,PHI,Flyers,Philadelphia Flyers
